Name	cricket	literature	family	church/royalty	sports	royalty	music	politics	military	explorers
Joy Division	0.02	0.06	0.29	0.01	0.03	0.01	0.55	0.01	0.03	0.01
Frank Klepacki	0.01	0.06	0.2	0.01	0.07	0.01	0.56	0.02	0.06	0.01
William Burges	0.01	0.53	0.22	0.02	0.01	0.17	0.01	0.01	0.01	0.01
R.E.M.	0.01	0.02	0.23	0.01	0.01	0.01	0.63	0.07	0.0	0.01
Ian Johnson (cricketer)	0.76	0.01	0.14	0.0	0.01	0.01	0.0	0.02	0.03	0.0
P. K. van der Byl	0.01	0.03	0.27	0.02	0.0	0.02	0.01	0.47	0.1	0.06
Gwen Stefani	0.01	0.13	0.22	0.01	0.02	0.02	0.56	0.01	0.01	0.01
Jesse L. Brown	0.07	0.05	0.21	0.01	0.02	0.01	0.01	0.13	0.42	0.08
Richard II of England	0.01	0.04	0.29	0.07	0.01	0.51	0.0	0.02	0.01	0.03
Kathleen Ferrier	0.02	0.06	0.29	0.01	0.03	0.09	0.45	0.02	0.03	0.01
Heinrich Bär	0.02	0.02	0.14	0.02	0.02	0.01	0.01	0.01	0.76	0.02
Giovanni Villani	0.01	0.11	0.31	0.42	0.02	0.06	0.01	0.04	0.0	0.02
Satyajit Ray	0.02	0.65	0.21	0.02	0.01	0.01	0.04	0.02	0.01	0.01
Sylvanus Morley	0.01	0.2	0.31	0.32	0.01	0.01	0.02	0.03	0.02	0.07
Happy Chandler	0.0	0.02	0.18	0.0	0.11	0.01	0.01	0.65	0.01	0.0
Keith Johnson (cricket administrator)	0.48	0.03	0.3	0.01	0.01	0.02	0.01	0.05	0.08	0.02
Mário de Andrade	0.01	0.43	0.27	0.15	0.01	0.01	0.09	0.01	0.01	0.02
James Garrard	0.01	0.01	0.17	0.01	0.01	0.04	0.01	0.71	0.01	0.02
Rachel Carson	0.01	0.32	0.31	0.0	0.01	0.0	0.01	0.28	0.02	0.04
Philitas of Cos	0.02	0.3	0.16	0.44	0.01	0.02	0.01	0.01	0.01	0.01
Mark Tonelli	0.1	0.02	0.22	0.01	0.55	0.01	0.01	0.04	0.02	0.02
Harry Trott	0.66	0.02	0.21	0.01	0.03	0.03	0.01	0.03	0.01	0.01
Rudolph Cartier	0.01	0.56	0.22	0.02	0.01	0.01	0.07	0.04	0.03	0.03
Hastings Ismay, 1st Baron Ismay	0.01	0.02	0.26	0.01	0.01	0.08	0.01	0.1	0.49	0.02
Orval Grove	0.01	0.01	0.12	0.01	0.76	0.02	0.01	0.03	0.02	0.02
Eduard Streltsov	0.03	0.03	0.22	0.01	0.58	0.01	0.01	0.03	0.08	0.01
George Calvert, 1st Baron Baltimore	0.01	0.02	0.26	0.01	0.01	0.51	0.01	0.09	0.01	0.09
Daniel Sedin	0.01	0.01	0.04	0.01	0.9	0.01	0.01	0.01	0.0	0.01
Rutherford B. Hayes	0.0	0.02	0.2	0.01	0.01	0.01	0.0	0.69	0.05	0.01
Coenwulf of Mercia	0.0	0.02	0.12	0.72	0.01	0.07	0.01	0.03	0.01	0.01
Le Quang Tung	0.02	0.01	0.17	0.01	0.01	0.01	0.0	0.04	0.1	0.63
Selena	0.02	0.08	0.15	0.02	0.06	0.03	0.47	0.05	0.03	0.1
Charlotte Stuart, Duchess of Albany	0.0	0.06	0.28	0.03	0.01	0.55	0.02	0.01	0.02	0.03
George I of Great Britain	0.01	0.01	0.21	0.03	0.01	0.63	0.01	0.06	0.03	0.01
Frederick Delius	0.01	0.12	0.26	0.01	0.01	0.06	0.5	0.01	0.01	0.02
Ton That Dinh	0.01	0.01	0.26	0.01	0.01	0.01	0.0	0.08	0.11	0.5
Karmichael Hunt	0.15	0.01	0.16	0.0	0.61	0.01	0.01	0.02	0.02	0.01
Edmund Herring	0.02	0.03	0.14	0.01	0.01	0.06	0.01	0.09	0.62	0.02
Bart King	0.55	0.05	0.16	0.01	0.07	0.09	0.01	0.02	0.01	0.02
Sam Loxton	0.72	0.01	0.14	0.0	0.04	0.01	0.01	0.06	0.02	0.0
Adrian Cole (RAAF officer)	0.02	0.01	0.1	0.01	0.01	0.03	0.01	0.04	0.75	0.02
John L. Helm	0.02	0.01	0.13	0.01	0.01	0.01	0.01	0.76	0.02	0.02
Robert de Chesney	0.01	0.01	0.11	0.05	0.01	0.76	0.01	0.02	0.01	0.01
Slayer	0.02	0.02	0.18	0.03	0.03	0.03	0.64	0.01	0.02	0.02
Roderic Dallas	0.06	0.03	0.24	0.01	0.04	0.01	0.01	0.01	0.55	0.04
Bill Russell	0.01	0.03	0.23	0.01	0.68	0.01	0.01	0.03	0.01	0.01
Frank Bladin	0.01	0.02	0.11	0.01	0.01	0.01	0.01	0.01	0.8	0.01
Bob Meusel	0.1	0.02	0.06	0.01	0.72	0.01	0.01	0.02	0.03	0.02
Richard Hawes	0.01	0.01	0.13	0.02	0.01	0.05	0.02	0.61	0.1	0.03
Bernard Fanning	0.08	0.05	0.25	0.01	0.01	0.03	0.53	0.02	0.01	0.01
George Fox	0.02	0.1	0.42	0.04	0.01	0.3	0.01	0.03	0.01	0.06
Bill Brown (cricketer)	0.83	0.01	0.1	0.01	0.01	0.01	0.0	0.01	0.01	0.01
Phil Hartman	0.01	0.3	0.27	0.01	0.28	0.02	0.08	0.02	0.01	0.01
Sir William Bruce, 1st Baronet, of Balcaskie	0.01	0.11	0.19	0.01	0.02	0.53	0.03	0.01	0.02	0.07
Gregory of Nazianzus	0.0	0.04	0.28	0.53	0.01	0.04	0.01	0.05	0.01	0.02
Princess Beatrice of the United Kingdom	0.01	0.03	0.31	0.01	0.01	0.58	0.01	0.01	0.01	0.01
Mozart in Italy	0.02	0.02	0.31	0.06	0.02	0.28	0.23	0.0	0.02	0.02
Benjamin Morrell	0.01	0.09	0.28	0.01	0.02	0.03	0.01	0.01	0.01	0.53
Ian Chappell	0.65	0.04	0.17	0.0	0.07	0.01	0.01	0.03	0.01	0.01
Brian Horrocks	0.02	0.02	0.21	0.01	0.03	0.04	0.01	0.02	0.62	0.01
Jim Thorpe	0.01	0.08	0.21	0.02	0.53	0.03	0.01	0.05	0.01	0.05
Ngo Dinh Can	0.01	0.01	0.24	0.02	0.01	0.01	0.01	0.1	0.04	0.55
Bruce Kingsbury	0.02	0.02	0.18	0.01	0.03	0.02	0.03	0.01	0.62	0.05
J. C. W. Beckham	0.01	0.01	0.14	0.01	0.03	0.01	0.01	0.77	0.01	0.01
W. B. Yeats	0.01	0.49	0.32	0.02	0.01	0.07	0.03	0.04	0.02	0.01
Wintjiya Napaltjarri	0.03	0.7	0.09	0.02	0.01	0.03	0.02	0.01	0.06	0.03
Richard Hakluyt	0.01	0.16	0.09	0.03	0.02	0.27	0.01	0.02	0.01	0.38
Solomon P. Sharp	0.01	0.04	0.14	0.02	0.01	0.03	0.01	0.65	0.04	0.05
Arrest and assassination of Ngo Dinh Diem	0.0	0.0	0.31	0.01	0.01	0.01	0.01	0.07	0.05	0.52
Vivien Leigh	0.03	0.51	0.34	0.01	0.01	0.04	0.03	0.01	0.02	0.01
Russell T Davies	0.03	0.53	0.22	0.01	0.07	0.03	0.09	0.03	0.0	0.01
Terry Sanford	0.01	0.05	0.18	0.01	0.02	0.04	0.02	0.59	0.05	0.02
Ian Dougald McLachlan	0.02	0.01	0.09	0.01	0.01	0.02	0.01	0.03	0.8	0.02
André Kertész	0.01	0.55	0.23	0.02	0.02	0.03	0.03	0.02	0.02	0.06
George Went Hensley	0.01	0.03	0.35	0.08	0.01	0.05	0.03	0.37	0.01	0.06
Walter Peeler	0.03	0.01	0.12	0.01	0.01	0.04	0.01	0.02	0.73	0.02
Barthélemy Boganda	0.01	0.05	0.25	0.05	0.01	0.03	0.01	0.23	0.03	0.33
William Cragh	0.01	0.01	0.35	0.03	0.01	0.5	0.01	0.02	0.01	0.05
Maximus the Confessor	0.01	0.04	0.16	0.65	0.01	0.02	0.03	0.03	0.02	0.01
Jonathan Agnew	0.52	0.09	0.26	0.01	0.05	0.02	0.03	0.01	0.01	0.01
Kevin Pietersen	0.73	0.01	0.17	0.0	0.05	0.01	0.01	0.01	0.01	0.0
Elwood Haynes	0.01	0.08	0.34	0.01	0.03	0.01	0.01	0.47	0.02	0.02
William III of England	0.01	0.01	0.22	0.02	0.01	0.6	0.01	0.06	0.05	0.01
George Washington Dixon	0.02	0.18	0.34	0.02	0.02	0.02	0.09	0.26	0.01	0.04
Godsmack	0.01	0.03	0.15	0.01	0.03	0.01	0.72	0.01	0.01	0.01
Pyotr Ilyich Tchaikovsky	0.0	0.1	0.37	0.01	0.01	0.02	0.45	0.02	0.02	0.0
Ima Hogg	0.01	0.24	0.24	0.0	0.02	0.04	0.04	0.1	0.01	0.29
Virginia Eliza Clemm Poe	0.01	0.37	0.37	0.01	0.0	0.14	0.01	0.04	0.01	0.03
Albert Speer	0.01	0.11	0.37	0.02	0.01	0.02	0.01	0.08	0.37	0.02
Winfield Scott Hancock	0.01	0.04	0.18	0.01	0.02	0.01	0.01	0.32	0.35	0.05
David I of Scotland	0.01	0.01	0.22	0.22	0.01	0.5	0.0	0.01	0.01	0.01
Robert of Jumièges	0.01	0.01	0.19	0.1	0.0	0.65	0.01	0.01	0.01	0.01
Stamata Revithi	0.01	0.09	0.26	0.13	0.35	0.02	0.01	0.05	0.03	0.05
John Edward Brownlee as Attorney-General of Alberta	0.01	0.01	0.28	0.0	0.01	0.03	0.01	0.63	0.01	0.01
William Henry Harrison	0.01	0.02	0.21	0.02	0.01	0.03	0.01	0.61	0.04	0.04
Franklin Knight Lane	0.01	0.03	0.24	0.01	0.01	0.02	0.01	0.63	0.01	0.03
Tiny Thompson	0.03	0.02	0.05	0.01	0.83	0.01	0.01	0.01	0.02	0.01
William Hanna	0.02	0.62	0.18	0.01	0.05	0.01	0.06	0.05	0.01	0.01
Peter Evans (swimmer)	0.1	0.01	0.18	0.01	0.56	0.02	0.01	0.07	0.03	0.02
Luke P. Blackburn	0.01	0.02	0.23	0.01	0.01	0.02	0.01	0.59	0.01	0.09
Bill Newton	0.12	0.02	0.16	0.01	0.04	0.02	0.01	0.01	0.56	0.05
William Walton	0.02	0.13	0.23	0.01	0.01	0.06	0.51	0.01	0.02	0.0
Ron Hamence with the Australian cricket team in England in 1948	0.88	0.0	0.08	0.0	0.01	0.0	0.01	0.0	0.01	0.0
Ernie Fletcher	0.0	0.01	0.17	0.01	0.02	0.01	0.01	0.7	0.05	0.01
Prince Albert Victor, Duke of Clarence and Avondale	0.02	0.08	0.25	0.01	0.02	0.51	0.01	0.02	0.08	0.01
Harriet Arbuthnot	0.01	0.06	0.34	0.02	0.02	0.46	0.01	0.04	0.02	0.01
Motörhead	0.01	0.04	0.15	0.01	0.03	0.02	0.7	0.01	0.03	0.01
David Lovering	0.01	0.06	0.16	0.01	0.04	0.02	0.64	0.03	0.01	0.02
John Wark	0.07	0.03	0.17	0.01	0.65	0.02	0.01	0.02	0.01	0.02
Maynard James Keenan	0.01	0.07	0.23	0.01	0.02	0.01	0.57	0.03	0.01	0.03
Abbas Kiarostami	0.01	0.57	0.28	0.01	0.02	0.0	0.06	0.02	0.01	0.02
Nick Drake	0.01	0.09	0.36	0.01	0.01	0.02	0.46	0.01	0.01	0.01
Augusta, Lady Gregory	0.03	0.49	0.17	0.05	0.01	0.14	0.02	0.03	0.04	0.03
Theramenes	0.01	0.02	0.31	0.44	0.02	0.01	0.0	0.1	0.03	0.07
Shelton Benjamin	0.01	0.03	0.08	0.02	0.76	0.01	0.02	0.03	0.01	0.03
Stephen Trigg	0.01	0.01	0.15	0.01	0.01	0.07	0.01	0.52	0.05	0.16
Katie Holmes	0.01	0.48	0.23	0.01	0.05	0.02	0.13	0.03	0.02	0.02
Brunette Coleman	0.01	0.56	0.28	0.02	0.02	0.03	0.03	0.01	0.01	0.03
Natalie Clifford Barney	0.01	0.56	0.27	0.02	0.01	0.04	0.03	0.02	0.01	0.02
Justus	0.02	0.02	0.09	0.64	0.01	0.13	0.03	0.01	0.02	0.02
Yagan	0.04	0.1	0.27	0.02	0.02	0.04	0.01	0.05	0.03	0.43
James Tod	0.01	0.19	0.23	0.29	0.0	0.11	0.0	0.03	0.02	0.11
Ceawlin of Wessex	0.02	0.01	0.11	0.81	0.01	0.01	0.01	0.01	0.01	0.01
Hilary of Chichester	0.01	0.0	0.15	0.04	0.01	0.72	0.01	0.04	0.01	0.01
Ram Narayan	0.06	0.08	0.16	0.02	0.02	0.01	0.55	0.02	0.02	0.05
Clem Hill	0.75	0.01	0.14	0.01	0.04	0.01	0.0	0.01	0.01	0.01
Evelyn Waugh	0.01	0.42	0.34	0.01	0.01	0.09	0.01	0.03	0.06	0.03
Lee Smith (baseball)	0.03	0.01	0.1	0.01	0.8	0.0	0.01	0.03	0.01	0.01
Ealdred (bishop)	0.01	0.01	0.12	0.14	0.01	0.67	0.01	0.01	0.01	0.01
Gilberto Silva	0.05	0.01	0.23	0.02	0.6	0.03	0.01	0.01	0.01	0.01
AC DC	0.1	0.1	0.1	0.1	0.12	0.1	0.1	0.1	0.12	0.1
Áedán mac Gabráin	0.01	0.03	0.05	0.84	0.01	0.04	0.01	0.01	0.01	0.01
The Wiggles	0.06	0.15	0.26	0.0	0.02	0.01	0.44	0.02	0.03	0.01
William Cooley	0.01	0.02	0.21	0.01	0.02	0.04	0.01	0.15	0.02	0.5
Andrew Cunningham, 1st Viscount Cunningham of Hyndhope	0.01	0.02	0.2	0.01	0.01	0.08	0.01	0.02	0.6	0.04
El Lissitzky	0.01	0.49	0.28	0.02	0.01	0.01	0.04	0.02	0.1	0.02
Radiohead	0.01	0.03	0.19	0.01	0.01	0.01	0.71	0.01	0.01	0.01
Jack Sheppard	0.03	0.2	0.32	0.01	0.03	0.1	0.03	0.01	0.01	0.27
Johann von Klenau	0.0	0.0	0.2	0.06	0.01	0.03	0.0	0.02	0.64	0.03
Keith Miller in the 1946–47 Australian cricket season	0.82	0.01	0.11	0.0	0.01	0.0	0.0	0.01	0.01	0.01
Zelda Fitzgerald	0.0	0.46	0.38	0.0	0.02	0.01	0.04	0.02	0.01	0.05
Tom Pryce	0.04	0.03	0.19	0.01	0.6	0.03	0.01	0.02	0.06	0.02
Kate Bush	0.02	0.13	0.17	0.01	0.01	0.03	0.6	0.0	0.01	0.02
Ann Bannon	0.0	0.55	0.36	0.0	0.01	0.0	0.02	0.02	0.01	0.02
Myles Standish	0.01	0.03	0.25	0.01	0.01	0.06	0.01	0.03	0.01	0.58
Princess Helena of the United Kingdom	0.01	0.05	0.27	0.01	0.01	0.56	0.01	0.04	0.03	0.01
Nathaniel Parker Willis	0.01	0.52	0.27	0.0	0.01	0.08	0.01	0.06	0.01	0.03
Marcus Trescothick	0.69	0.01	0.19	0.0	0.07	0.01	0.01	0.01	0.01	0.0
Premiership of John Edward Brownlee	0.0	0.01	0.3	0.01	0.01	0.02	0.01	0.62	0.0	0.01
Penda of Mercia	0.0	0.01	0.18	0.74	0.0	0.03	0.01	0.0	0.01	0.01
Edward VI of England	0.0	0.02	0.3	0.04	0.0	0.55	0.01	0.04	0.01	0.03
Herbert Greenfield	0.01	0.01	0.28	0.01	0.01	0.02	0.01	0.62	0.01	0.02
Oliver Wendell Holmes, Sr.	0.0	0.51	0.32	0.01	0.02	0.05	0.01	0.06	0.01	0.02
Pixies	0.02	0.02	0.19	0.01	0.01	0.01	0.7	0.01	0.01	0.03
Mike Jackson	0.03	0.04	0.23	0.01	0.02	0.04	0.01	0.05	0.57	0.02
George IV of the United Kingdom	0.0	0.03	0.27	0.0	0.01	0.57	0.01	0.07	0.02	0.01
John McCauley	0.01	0.02	0.12	0.01	0.02	0.02	0.01	0.03	0.75	0.02
Ernest Augustus I of Hanover	0.0	0.01	0.3	0.01	0.01	0.52	0.0	0.08	0.05	0.01
Stan Musial	0.04	0.01	0.16	0.0	0.7	0.01	0.01	0.03	0.02	0.01
Flea (musician)	0.01	0.07	0.23	0.0	0.02	0.01	0.62	0.01	0.0	0.02
Nancy Cartwright	0.01	0.55	0.2	0.0	0.05	0.03	0.06	0.04	0.01	0.04
Matthew Brettingham	0.01	0.24	0.25	0.03	0.02	0.38	0.01	0.01	0.02	0.03
Len Hutton	0.76	0.02	0.18	0.0	0.01	0.0	0.0	0.01	0.01	0.0
Edmund Sharpe	0.01	0.44	0.19	0.03	0.01	0.16	0.02	0.08	0.02	0.04
Nigel Kneale	0.02	0.58	0.23	0.0	0.03	0.03	0.07	0.01	0.02	0.01
Murasaki Shikibu	0.0	0.57	0.25	0.05	0.0	0.06	0.01	0.01	0.01	0.02
Olivia Manning	0.01	0.44	0.35	0.03	0.01	0.04	0.0	0.02	0.07	0.04
Opeth	0.01	0.01	0.18	0.02	0.01	0.01	0.73	0.0	0.02	0.01
Aspasia	0.01	0.23	0.21	0.48	0.01	0.01	0.01	0.03	0.02	0.01
Simeon I of Bulgaria	0.01	0.03	0.16	0.63	0.01	0.04	0.01	0.01	0.06	0.05
Alexandra of Denmark	0.01	0.05	0.28	0.02	0.01	0.53	0.02	0.02	0.04	0.02
Nguyen Ngoc Tho	0.01	0.01	0.25	0.0	0.01	0.0	0.01	0.17	0.04	0.49
Cynna Kydd	0.22	0.03	0.19	0.01	0.48	0.01	0.01	0.02	0.01	0.01
Georg Forster	0.01	0.19	0.22	0.03	0.01	0.07	0.02	0.03	0.12	0.31
The Greencards	0.03	0.05	0.15	0.0	0.03	0.01	0.65	0.03	0.02	0.02
J. R. Richard	0.07	0.01	0.12	0.01	0.77	0.01	0.01	0.01	0.0	0.01
Richard Dannatt, Baron Dannatt	0.02	0.03	0.2	0.01	0.02	0.07	0.02	0.1	0.53	0.0
Thurman Tucker	0.04	0.01	0.08	0.01	0.78	0.01	0.01	0.02	0.04	0.01
William Bostock	0.02	0.01	0.15	0.01	0.01	0.02	0.01	0.06	0.72	0.01
Silverchair	0.04	0.03	0.19	0.01	0.03	0.01	0.66	0.02	0.01	0.01
Tom Driberg	0.01	0.15	0.33	0.01	0.01	0.1	0.01	0.29	0.06	0.02
Rush (band)	0.01	0.04	0.19	0.01	0.05	0.01	0.66	0.02	0.01	0.01
Elias Abraham Rosenberg	0.01	0.07	0.28	0.04	0.01	0.15	0.01	0.04	0.01	0.38
Hispanic Americans in World War II	0.01	0.03	0.09	0.01	0.03	0.01	0.01	0.04	0.63	0.16
Rise of Neville Chamberlain	0.01	0.03	0.29	0.0	0.01	0.12	0.01	0.49	0.03	0.01
Gilbert Foliot	0.0	0.02	0.17	0.04	0.01	0.72	0.01	0.02	0.0	0.01
Demosthenes	0.01	0.07	0.33	0.45	0.0	0.01	0.01	0.1	0.01	0.01
William McKinley	0.01	0.01	0.27	0.01	0.0	0.01	0.0	0.6	0.06	0.04
Ahmose I	0.01	0.06	0.21	0.62	0.0	0.02	0.02	0.02	0.01	0.03
Magic Johnson	0.02	0.1	0.1	0.01	0.69	0.01	0.02	0.04	0.01	0.01
Pedro II of Brazil	0.01	0.04	0.36	0.3	0.0	0.06	0.01	0.16	0.03	0.03
Caspar David Friedrich	0.01	0.49	0.29	0.04	0.01	0.04	0.05	0.01	0.04	0.03
Walter Model	0.01	0.01	0.34	0.01	0.0	0.01	0.01	0.02	0.59	0.01
Lisa del Giocondo	0.01	0.11	0.16	0.07	0.02	0.5	0.02	0.03	0.01	0.08
John Knox	0.01	0.01	0.28	0.1	0.01	0.52	0.01	0.03	0.01	0.03
Mary Martha Sherwood	0.01	0.54	0.25	0.03	0.01	0.11	0.01	0.01	0.01	0.02
Doug Ring with the Australian cricket team in England in 1948	0.92	0.0	0.03	0.01	0.01	0.0	0.01	0.0	0.01	0.0
John Dee	0.01	0.25	0.29	0.08	0.02	0.25	0.02	0.02	0.02	0.05
Benjamin Franklin Tilley	0.01	0.01	0.13	0.02	0.02	0.01	0.01	0.21	0.17	0.4
Joe Sakic	0.01	0.01	0.1	0.0	0.84	0.01	0.01	0.01	0.01	0.01
S.H.E	0.01	0.18	0.2	0.01	0.05	0.0	0.49	0.01	0.02	0.02
Leo Ornstein	0.01	0.13	0.3	0.03	0.02	0.01	0.45	0.02	0.02	0.02
Alexandre Banza	0.01	0.01	0.26	0.02	0.01	0.01	0.01	0.1	0.05	0.52
Hubert Walter	0.01	0.01	0.19	0.05	0.01	0.66	0.01	0.04	0.02	0.01
Olivia Shakespear	0.01	0.46	0.37	0.01	0.0	0.11	0.01	0.0	0.01	0.01
George Andrew Davis, Jr.	0.03	0.01	0.14	0.01	0.02	0.0	0.01	0.02	0.72	0.04
Joey Santiago	0.02	0.06	0.19	0.01	0.02	0.02	0.62	0.03	0.01	0.02
Roy Dowling	0.01	0.01	0.1	0.0	0.02	0.04	0.01	0.04	0.74	0.03
Martin Brodeur	0.01	0.01	0.07	0.01	0.87	0.0	0.01	0.01	0.0	0.0
James G. Blaine	0.0	0.02	0.22	0.02	0.01	0.03	0.0	0.66	0.01	0.03
KaDee Strickland	0.01	0.5	0.24	0.01	0.04	0.02	0.12	0.03	0.01	0.03
Paulinus of York	0.02	0.01	0.13	0.66	0.01	0.1	0.01	0.02	0.01	0.02
Wendell H. Ford	0.01	0.03	0.12	0.0	0.03	0.01	0.01	0.72	0.06	0.01
Lazare Ponticelli	0.01	0.09	0.22	0.03	0.03	0.06	0.02	0.06	0.36	0.11
Reception history of Jane Austen	0.01	0.61	0.27	0.01	0.0	0.05	0.02	0.02	0.0	0.0
Miranda Otto	0.07	0.58	0.15	0.01	0.05	0.03	0.07	0.02	0.01	0.02
Tarrare	0.01	0.03	0.55	0.01	0.01	0.05	0.03	0.01	0.07	0.22
Alice Ayres	0.01	0.31	0.37	0.01	0.02	0.09	0.01	0.06	0.07	0.04
Cosmo Gordon Lang	0.01	0.04	0.34	0.04	0.01	0.4	0.01	0.11	0.02	0.02
Charles Atangana	0.01	0.04	0.3	0.28	0.01	0.03	0.02	0.08	0.1	0.14
Dan Leno	0.02	0.29	0.25	0.0	0.03	0.09	0.27	0.01	0.01	0.01
Ernest Shackleton	0.01	0.06	0.29	0.01	0.02	0.06	0.01	0.02	0.05	0.47
Wilco	0.01	0.03	0.18	0.01	0.01	0.01	0.72	0.03	0.01	0.01
Bob Windle	0.1	0.01	0.14	0.01	0.67	0.01	0.01	0.02	0.03	0.01
Sydney Newman	0.03	0.44	0.3	0.01	0.05	0.01	0.03	0.09	0.03	0.02
Ray Lindwall with the Australian cricket team in England in 1948	0.84	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.01	0.01
Choe Bu	0.01	0.09	0.29	0.05	0.01	0.02	0.01	0.05	0.04	0.44
John Day (printer)	0.01	0.28	0.29	0.06	0.01	0.28	0.03	0.01	0.02	0.02
Issy Smith	0.03	0.06	0.19	0.03	0.05	0.06	0.02	0.04	0.39	0.13
Christopher Smart's asylum confinement	0.01	0.41	0.46	0.01	0.0	0.03	0.02	0.02	0.01	0.02
Leopold Report	0.01	0.16	0.27	0.01	0.03	0.02	0.02	0.43	0.02	0.03
Jogaila	0.01	0.01	0.18	0.49	0.01	0.1	0.01	0.02	0.16	0.01
Isaac Brock	0.01	0.02	0.3	0.02	0.03	0.04	0.0	0.08	0.19	0.31
Rogers Hornsby	0.06	0.01	0.1	0.0	0.76	0.02	0.01	0.03	0.0	0.01
Hasekura Tsunenaga	0.0	0.02	0.23	0.15	0.01	0.04	0.0	0.01	0.01	0.53
Rudolf Wolters	0.01	0.1	0.39	0.01	0.01	0.03	0.01	0.08	0.36	0.02
Edgar Towner	0.01	0.03	0.1	0.01	0.01	0.02	0.02	0.02	0.73	0.06
Scott Zolak	0.03	0.02	0.09	0.01	0.77	0.01	0.02	0.02	0.01	0.02
Jerry Pentland	0.03	0.03	0.14	0.01	0.03	0.04	0.02	0.03	0.65	0.02
Jovan Vladimir	0.0	0.04	0.18	0.69	0.0	0.03	0.0	0.0	0.02	0.02
Elizabeth Needham	0.04	0.19	0.35	0.03	0.02	0.15	0.02	0.02	0.02	0.17
Coenred of Mercia	0.01	0.01	0.08	0.8	0.01	0.05	0.01	0.02	0.01	0.01
Rudolf Vrba	0.01	0.07	0.3	0.04	0.01	0.01	0.01	0.03	0.06	0.46
Tom Crean (explorer)	0.04	0.01	0.21	0.01	0.04	0.04	0.01	0.01	0.07	0.57
Carsten Borchgrevink	0.01	0.04	0.3	0.01	0.01	0.05	0.01	0.02	0.06	0.49
Stephen Crane	0.01	0.44	0.33	0.01	0.01	0.03	0.01	0.04	0.04	0.07
Daniel Boone	0.01	0.08	0.25	0.02	0.01	0.03	0.01	0.13	0.01	0.44
Ion Heliade Rădulescu	0.0	0.26	0.24	0.38	0.01	0.02	0.01	0.07	0.02	0.01
John Churchill, 1st Duke of Marlborough	0.01	0.01	0.35	0.01	0.0	0.44	0.0	0.03	0.14	0.02
Alain Prost	0.02	0.01	0.2	0.01	0.69	0.01	0.01	0.01	0.02	0.03
Mark Hanna	0.0	0.02	0.31	0.0	0.0	0.01	0.01	0.63	0.0	0.01
Cædmon	0.02	0.2	0.17	0.5	0.01	0.02	0.05	0.01	0.01	0.01
Afonso, Prince Imperial of Brazil	0.01	0.06	0.28	0.35	0.02	0.19	0.01	0.03	0.04	0.02
Thrasybulus	0.01	0.01	0.25	0.48	0.01	0.01	0.0	0.09	0.11	0.03
Roy Kilner	0.75	0.01	0.16	0.01	0.03	0.01	0.0	0.01	0.02	0.01
John Michael Wright	0.01	0.2	0.24	0.08	0.01	0.39	0.02	0.01	0.01	0.04
Adam Gilchrist	0.76	0.01	0.1	0.0	0.09	0.0	0.01	0.02	0.0	0.0
Early life of Joseph Smith	0.01	0.08	0.38	0.03	0.02	0.02	0.01	0.04	0.0	0.41
Henry Moore	0.02	0.53	0.25	0.02	0.02	0.06	0.03	0.03	0.05	0.01
Princess Louise, Duchess of Argyll	0.02	0.06	0.29	0.01	0.03	0.51	0.01	0.05	0.01	0.02
Pedro Álvares Cabral	0.01	0.0	0.24	0.27	0.01	0.02	0.0	0.01	0.03	0.39
Emperor Norton	0.01	0.08	0.29	0.08	0.02	0.07	0.03	0.11	0.01	0.3
Walter de Coutances	0.01	0.01	0.14	0.03	0.01	0.76	0.01	0.03	0.01	0.01
Moe Berg	0.03	0.09	0.21	0.01	0.45	0.01	0.02	0.04	0.08	0.05
Nicolo Giraud	0.01	0.19	0.36	0.04	0.01	0.34	0.01	0.02	0.02	0.01
Ray Emery	0.02	0.02	0.16	0.01	0.73	0.01	0.02	0.02	0.01	0.01
Minnie Pwerle	0.06	0.63	0.11	0.02	0.01	0.02	0.04	0.01	0.05	0.03
James B. McCreary	0.01	0.01	0.12	0.01	0.01	0.01	0.01	0.77	0.05	0.01
Hod Stuart	0.03	0.01	0.15	0.02	0.67	0.02	0.02	0.05	0.01	0.02
William de Corbeil	0.01	0.01	0.14	0.08	0.01	0.71	0.01	0.01	0.01	0.01
Rachel Chiesley, Lady Grange	0.03	0.08	0.33	0.03	0.01	0.36	0.01	0.03	0.02	0.11
Sid Barnes with the Australian cricket team in England in 1948	0.77	0.01	0.18	0.0	0.0	0.0	0.0	0.01	0.0	0.01
Adrian Boult	0.02	0.04	0.23	0.0	0.03	0.07	0.54	0.03	0.04	0.01
Garret Hobart	0.01	0.03	0.31	0.01	0.01	0.02	0.01	0.6	0.01	0.01
Brian Eaton	0.01	0.0	0.13	0.0	0.03	0.02	0.01	0.01	0.76	0.01
Adolfo Farsari	0.01	0.52	0.27	0.01	0.01	0.02	0.06	0.02	0.03	0.06
A. E. J. Collins	0.36	0.03	0.2	0.01	0.08	0.04	0.03	0.09	0.13	0.03
Wulfhere of Mercia	0.0	0.01	0.07	0.84	0.01	0.04	0.0	0.01	0.01	0.01
Albert Kesselring	0.0	0.01	0.23	0.03	0.0	0.02	0.0	0.04	0.63	0.02
