Article	WikiCategory
Michael Jordan	Sport and recreation 
Masako Katsura	Sport and recreation 
Susianna Kentikian	Sport and recreation 
Mark Kerry	Sport and recreation 
Harmon Killebrew	Sport and recreation 
Bart King	Sport and recreation 
Sandy Koufax	Sport and recreation 
Cynna Kydd	Sport and recreation 
Harold Larwood	Sport and recreation 
Faith Leech	Sport and recreation 
Trevor Linden	Sport and recreation 
Ray Lindwall with the Australian cricket team in England in 1948	Sport and recreation 
Sam Loxton	Sport and recreation 
Sam Loxton with the Australian cricket team in England in 1948	Sport and recreation 
Roberto Luongo	Sport and recreation 
Charlie Macartney	Sport and recreation 
George Macaulay	Sport and recreation 
Jack Marsh	Sport and recreation 
Jimmy McAleer	Sport and recreation 
William McGregor (football)	Sport and recreation 
Ian Meckiff	Sport and recreation 
Bob Meusel	Sport and recreation 
Early life of Keith Miller	Sport and recreation 
Keith Miller in the 1946–47 Australian cricket season	Sport and recreation 
Keith Miller with the Australian cricket team in England in 1948	Sport and recreation 
Arthur Mold	Sport and recreation 
Howie Morenz	Sport and recreation 
Sandra Morgan	Sport and recreation 
Arthur Morris	Sport and recreation 
Stan Musial	Sport and recreation 
Ian O'Brien	Sport and recreation 
Kevin O'Halloran	Sport and recreation 
Bill O'Reilly (cricketer)	Sport and recreation 
Ben Paschal	Sport and recreation 
Kevin Pietersen	Sport and recreation 
Jacques Plante	Sport and recreation 
Bill Ponsford	Sport and recreation 
Alain Prost	Sport and recreation 
Tom Pryce	Sport and recreation 
Stamata Revithi	Sport and recreation 
Wilfred Rhodes	Sport and recreation 
J. R. Richard	Sport and recreation 
Doug Ring with the Australian cricket team in England in 1948	Sport and recreation 
Mariano Rivera	Sport and recreation 
Jackie Robinson	Sport and recreation 
Bobby Robson	Sport and recreation 
Art Ross	Sport and recreation 
Bill Russell	Sport and recreation 
Rex Ryan	Sport and recreation 
Joe Sakic	Sport and recreation 
Sigi Schmid	Sport and recreation 
Daniel Sedin	Sport and recreation 
Henrik Sedin	Sport and recreation 
Joel Selwood	Sport and recreation 
Waisale Serevi	Sport and recreation 
Gilberto Silva	Sport and recreation 
Harbhajan Singh	Sport and recreation 
Lee Smith (baseball)	Sport and recreation 
Ozzie Smith	Sport and recreation 
Paul Stastny	Sport and recreation 
Eduard Streltsov	Sport and recreation 
Hod Stuart	Sport and recreation 
Don Tallon	Sport and recreation 
Tiny Thompson	Sport and recreation 
Ian Thorpe	Sport and recreation 
Jim Thorpe	Sport and recreation 
Mark Tonelli	Sport and recreation 
Ernie Toshack	Sport and recreation 
Ernie Toshack with the Australian cricket team in England in 1948	Sport and recreation 
Bert Trautmann	Sport and recreation 
Marcus Trescothick	Sport and recreation 
Harry Trott	Sport and recreation 
Hugh Trumble	Sport and recreation 
Thurman Tucker	Sport and recreation 
The Turk	Sport and recreation 
Hedley Verity	Sport and recreation 
Georges Vézina	Sport and recreation 
John Wark	Sport and recreation 
Tyrone Wheatley	Sport and recreation 
Bob Windle	Sport and recreation 
Yao Ming	Sport and recreation 
Scott Zolak	Sport and recreation 
Sophie Blanchard	Transport 
Lester Brain	Transport 
Fairfax Harrison	Transport 
Albert Stanley, 1st Baron Ashfield	Transport 
Ba Cut	Warfare 
Ivan Bagramyan	Warfare 
Thomas Baker (aviator)	Warfare 
John Balmer	Warfare 
Heinrich Bär	Warfare 
Nicky Barr	Warfare 
Prince Louis of Battenberg	Warfare 
Otto Becher	Warfare 
Frank Berryman	Warfare 
Frank Bladin	Warfare 
Thomas Blamey	Warfare 
John F. Bolt	Warfare 
William Bostock	Warfare 
Juan Davis Bradburn	Warfare 
William Brill	Warfare 
Jesse L. Brown	Warfare 
Raymond Brownell	Warfare 
Harry Chauvel	Warfare 
Dudley Clarke	Warfare 
Harry Cobby	Warfare 
Adrian Cole (RAAF officer)	Warfare 
Thomas Crisp	Warfare 
Andrew Cunningham, 1st Viscount Cunningham of Hyndhope	Warfare 
Luís Alves de Lima e Silva, Duke of Caxias	Warfare 
Roderic Dallas	Warfare 
Richard Dannatt, Baron Dannatt	Warfare 
George Andrew Davis, Jr.	Warfare 
Tom Derrick	Warfare 
Hermann Detzner	Warfare 
Roy Dowling	Warfare 
Pavle Đurišić	Warfare 
Brian Eaton	Warfare 
Charles Eaton (RAAF officer)	Warfare 
David Evans (RAAF officer)	Warfare 
Neil Hamilton Fairley	Warfare 
Karl Aloys zu Fürstenberg	Warfare 
Stanley Goble	Warfare 
Leslie Groves	Warfare 
Valston Hancock	Warfare 
Winfield Scott Hancock	Warfare 
Colin Hannah	Warfare 
Francis Harvey	Warfare 
Edmund Herring	Warfare 
Joe Hewitt (RAAF officer)	Warfare 
Peter Heywood	Warfare 
Hispanic Americans in World War II	Warfare 
Brian Horrocks	Warfare 
Cedric Howell	Warfare 
Thomas J. Hudner, Jr.	Warfare 
Hastings Ismay, 1st Baron Ismay	Warfare 
John Francis Jackson	Warfare 
Mike Jackson	Warfare 
Peter Jeffrey (RAAF officer)	Warfare 
George Jones (RAAF officer)	Warfare 
Albert Kesselring	Warfare 
Bruce Kingsbury	Warfare 
Thomas C. Kinkaid	Warfare 
Le Quang Tung	Warfare 
Helmut Lent	Warfare 
John Lerew	Warfare 
Ernst Lindemann	Warfare 
Douglas MacArthur	Warfare 
Manuel Marques de Sousa, Count of Porto Alegre	Warfare 
Murray Maxwell	Warfare 
John McCauley	Warfare 
James Whiteside McCay	Warfare 
George B. McClellan	Warfare 
Ian Dougald McLachlan	Warfare 
Frank McNamara (VC)	Warfare 
Walter Model	Warfare 
Werner Mölders	Warfare 
Fred Moosally	Warfare 
Alister Murdoch	Warfare 
Harry Murray	Warfare 
James Newland	Warfare 
Bill Newton	Warfare 
Walter Peeler	Warfare 
Jerry Pentland	Warfare 
Arthur Percival	Warfare 
Pham Ngoc Thao	Warfare 
Edwin Taylor Pollock	Warfare 
Lazare Ponticelli	Warfare 
James Rowland (RAAF officer)	Warfare 
Reg Saunders	Warfare 
Stanley Savige	Warfare 
Frederick Scherger	Warfare 
Uriel Sebree	Warfare 
Kenneth R. Shadrick	Warfare 
William Tecumseh Sherman	Warfare 
Issy Smith	Warfare 
Oerip Soemohardjo	Warfare 
Myles Standish	Warfare 
Ronald Niel Stuart	Warfare 
Sudirman	Warfare 
Paul Nobuo Tatsuguchi	Warfare 
Thrasybulus	Warfare 
Benjamin Franklin Tilley	Warfare 
Ton That Dinh	Warfare 
Edgar Towner	Warfare 
Johann von Klenau	Warfare 
Ellis Wackett	Warfare 
John Lloyd Waddy	Warfare 
Kenneth Walker	Warfare 
Hector Waller	Warfare 
Blair Wark	Warfare 
Oswald Watt	Warfare 
Henry Wells (general)	Warfare 
John Whittle	Warfare 
Richard Williams (RAAF officer)	Warfare 
Henry Wrigley	Warfare 
